Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_AC1(kW),z4_Light(kW),z4_Plug(kW)
2018-12-26 12:00:00,23.36,8.481,3.603666666666667,23.814117647058826,58.629411764705885,67.70588235294117,15.943333333333333,0.23999999999999996,0.0,0.0,1.3583333333333334,0.01,0.9163333333333334,0.0,1.0406666666666669,0.0,0.0,0.0,0.6903333333333332,0.0,2.6593333333333335,0.4503333333333333,27.522857142857145,58.98190476190476,108.66666666666667,0.86,0.35,28.4175,57.0775,3.125,7.135000000000001,1.8773333333333333,0.0
2018-12-26 12:30:00,26.849666666666668,8.481333333333334,3.4183333333333334,23.814117647058826,58.629411764705885,67.70588235294117,16.412666666666667,0.23999999999999996,0.0,0.0,1.352,0.01,0.9126666666666667,0.0,1.0390000000000001,0.0,0.0,0.0,0.9903333333333333,0.0,2.6599999999999997,0.46799999999999997,27.522857142857145,58.98190476190476,108.66666666666667,0.88,0.37,28.4175,57.0775,3.125,6.9863333333333335,1.878,0.0
2018-12-26 13:00:00,22.46833333333333,8.180333333333333,3.372333333333333,23.814117647058826,58.629411764705885,67.70588235294117,16.66,0.23233333333333334,0.0,0.0,1.352,0.01,0.9333333333333333,0.0,1.0493333333333335,0.0,0.0,0.0,1.1986666666666668,0.0,2.5886666666666667,0.545,27.522857142857145,58.98190476190476,108.66666666666667,0.9286666666666666,0.35,28.4175,57.0775,3.125,7.250333333333333,1.8316666666666668,0.0
2018-12-26 13:30:00,27.733666666666668,8.189666666666666,3.416333333333333,23.814117647058826,58.629411764705885,67.70588235294117,16.31533333333333,0.238,0.0,0.0,1.3590000000000002,0.01,0.9316666666666666,0.0,1.0506666666666669,0.0,0.0,0.0,0.922,0.0,2.5973333333333333,0.8476666666666667,27.522857142857145,58.98190476190476,108.66666666666667,0.9463333333333334,0.35,28.4175,57.0775,3.125,7.114,1.8353333333333335,0.0
2018-12-26 14:00:00,20.551,8.253,3.4553333333333334,23.814117647058826,58.629411764705885,67.70588235294117,16.674666666666667,0.23999999999999996,0.0,0.0,1.3653333333333333,0.01,0.9366666666666668,0.0,1.053,0.0,0.0,0.0,1.089,0.0,2.6123333333333334,0.8343333333333334,27.522857142857145,58.98190476190476,108.66666666666667,0.887,0.35,28.4175,57.0775,3.125,7.091666666666667,1.8476666666666666,0.0
2018-12-26 14:30:00,27.653333333333332,8.201,3.577,23.814117647058826,58.629411764705885,67.70588235294117,16.851333333333333,0.23999999999999996,0.0,0.0,1.377,0.01,0.9436666666666667,0.0,1.0593333333333335,0.0,0.0,0.0,1.252,0.0,2.613,0.8640000000000001,27.522857142857145,58.98190476190476,108.66666666666667,1.016,0.35,28.4175,57.0775,3.125,7.267666666666667,1.8473333333333335,0.0
2018-12-26 15:00:00,23.505,8.274,3.8343333333333334,23.814117647058826,58.629411764705885,67.70588235294117,16.814666666666668,0.286,0.042666666666666665,0.048666666666666664,1.3773333333333333,0.01,0.945,0.0,1.06,0.0,0.0,0.0,1.099,0.0,2.518666666666667,0.5076666666666667,27.522857142857145,58.98190476190476,108.66666666666667,0.8086666666666668,0.3516666666666666,28.4175,57.0775,3.125,7.056333333333333,1.852,0.0
2018-12-26 15:30:00,25.579333333333334,8.372,3.6856666666666666,23.814117647058826,58.629411764705885,67.70588235294117,16.580333333333336,0.29566666666666663,0.051000000000000004,0.058666666666666666,1.3946666666666665,0.01,0.9623333333333333,0.0,1.076,0.0,0.0,0.0,0.8156666666666667,0.0,2.268333333333333,0.4436666666666667,27.522857142857145,58.98190476190476,108.66666666666667,1.1336666666666666,0.36,28.4175,57.0775,3.125,7.257666666666666,1.8546666666666667,0.0
2018-12-26 16:00:00,25.849333333333334,8.14,3.295,23.814117647058826,58.629411764705885,67.70588235294117,16.873,0.23999999999999996,0.0,0.0,1.3816666666666668,0.01,0.9443333333333332,0.0,1.0616666666666668,0.0,0.0,0.0,1.1163333333333334,0.0,2.2846666666666664,0.43666666666666665,27.522857142857145,58.98190476190476,108.66666666666667,0.7646666666666667,0.36,28.4175,57.0775,3.125,7.173,1.8673333333333335,0.0
2018-12-26 16:30:00,21.116666666666667,8.106,2.8353333333333333,23.814117647058826,58.629411764705885,67.70588235294117,15.203333333333335,0.23999999999999996,0.0,0.0,1.3856666666666666,0.01,0.9476666666666667,0.0,1.0653333333333335,0.0,0.0,0.0,0.0006666666666666666,0.0,2.5050000000000003,0.46266666666666667,27.522857142857145,58.98190476190476,108.66666666666667,0.8009999999999999,0.35666666666666663,28.4175,57.0775,3.125,6.908333333333333,1.8746666666666665,0.0
2018-12-26 17:00:00,14.677,6.321,1.3076666666666665,23.814117647058826,58.629411764705885,67.70588235294117,0.0006666666666666666,0.2886666666666667,0.045000000000000005,0.051333333333333335,1.3653333333333333,0.033,0.9303333333333333,0.0,1.0476666666666667,0.0,0.0,0.0,0.0,0.0,2.0596666666666668,0.22466666666666668,27.522857142857145,58.98190476190476,108.66666666666667,0.803,0.45766666666666667,28.4175,57.0775,3.125,0.0,1.1179999999999999,0.0
2018-12-26 17:30:00,23.843666666666667,5.761666666666667,1.016,23.814117647058826,58.629411764705885,67.70588235294117,1.0263333333333333,0.028333333333333332,0.006666666666666667,0.007333333333333333,1.3946666666666665,1.2273333333333334,0.9623333333333333,0.8923333333333333,1.0696666666666668,1.021,0.0,0.0,0.0,0.0,0.8576666666666667,0.154,27.522857142857145,58.98190476190476,108.66666666666667,0.8236666666666665,0.384,28.4175,57.0775,3.125,0.0,1.1096666666666668,0.0
2018-12-26 18:00:00,16.647000000000002,5.093666666666667,0.8003333333333333,23.814117647058826,58.629411764705885,67.70588235294117,1.146,0.0,0.0,0.0,1.3880000000000001,1.3530000000000002,0.9473333333333332,1.0076666666666667,1.0463333333333333,1.1436666666666666,0.0,0.0,0.0,0.0,0.7576666666666667,0.11533333333333333,27.522857142857145,58.98190476190476,108.66666666666667,0.8226666666666667,0.30533333333333335,28.4175,57.0775,3.125,0.0,1.1143333333333334,0.0
