Date,z1_AC1(kW),z1_AC2(kW),z1_AC3(kW),z1_AC4(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-08-20 06:00:00,0.0,0.0,0.0,0.06833333333333334,1.4636666666666664,0.4236666666666667,28.948333333333334,66.91333333333334,4.066666666666666,0.0,0.9943333333333333,0.06699999999999999,28.437333333333335,68.88733333333333,26.866666666666667,0.5763333333333333,0.44466666666666665,0.0,1.4340000000000002,0.16666666666666666,27.964642857142856,70.44857142857143,7.107142857142857,0.0,0.0,0.308,27.302500000000002,75.90285714285714,0.0
2018-08-20 06:30:00,0.0,0.0,0.0,0.064,3.317,1.0543333333333333,29.087333333333333,68.00966666666666,5.0,0.0,3.426,0.13333333333333333,28.677916666666665,69.40041666666667,71.16666666666667,1.1433333333333335,0.447,0.0,1.7093333333333334,0.22866666666666668,28.329666666666665,71.39833333333333,7.633333333333334,0.0,0.0,0.3076666666666667,27.325666666666667,76.54266666666668,0.5333333333333333
2018-08-20 07:00:00,0.0,0.0,0.0,0.07,3.2376666666666667,0.713,29.541,69.57199999999999,5.0,0.0,3.786,0.5366666666666667,29.02192307692308,69.46692307692308,69.84615384615384,1.056,0.4873333333333333,0.0,1.9796666666666667,0.274,28.19107142857143,72.25285714285714,9.035714285714286,0.0,1.2533333333333334,0.4326666666666667,27.470000000000002,77.17433333333334,17.333333333333332
2018-08-20 07:30:00,0.0,0.0,0.0,12.165,3.5126666666666666,0.431,29.005185185185184,69.67370370370371,32.77777777777778,11.856,4.982666666666666,0.7246666666666666,29.062,68.04533333333333,68.1,1.3806666666666667,0.495,14.998,2.5446666666666666,0.442,27.937333333333335,70.878,21.766666666666666,8.493333333333334,1.6983333333333335,0.487,27.245384615384616,75.43230769230769,27.53846153846154
2018-08-20 08:00:00,0.0,0.0,0.0,29.725666666666665,4.296333333333334,0.338,26.858666666666668,59.92133333333334,45.3,25.432000000000002,5.936000000000001,0.7976666666666666,26.65125,56.865833333333335,70.5,1.3436666666666668,0.5,32.379,2.8169999999999997,0.947,23.760714285714283,59.65714285714286,26.75,17.839,2.126666666666667,0.737,24.124333333333333,63.562333333333335,31.766666666666666
2018-08-20 08:30:00,0.0,0.0,0.0,28.86,4.6483333333333325,0.5156666666666667,25.191785714285714,55.95928571428571,37.42857142857143,24.621666666666666,6.195666666666667,0.8143333333333334,24.58535714285714,52.13321428571429,73.5,1.231,0.5063333333333333,31.194666666666667,2.8753333333333333,0.9443333333333332,21.567666666666664,55.28866666666667,33.266666666666666,15.685333333333334,2.1683333333333334,0.7873333333333333,22.13,59.25192307692308,33.07692307692308
2018-08-20 09:00:00,0.0,0.0,0.0,28.799,4.800666666666667,0.46799999999999997,24.462333333333333,54.660999999999994,37.2,24.412,6.208,1.004,23.628666666666668,50.74633333333334,75.7,0.798,0.51,20.066333333333333,2.8906666666666667,0.8163333333333332,21.202333333333335,59.266333333333336,32.13333333333333,10.020000000000001,2.171,0.9306666666666668,22.163666666666664,61.038000000000004,35.06666666666667
2018-08-20 09:30:00,0.0,0.0,0.0,28.92233333333333,4.8036666666666665,0.542,24.166153846153847,54.894615384615385,37.57692307692308,21.500666666666667,6.266,0.8903333333333333,23.314642857142854,52.38035714285714,78.32142857142857,0.86,0.51,23.49566666666667,2.8473333333333333,0.6836666666666666,21.006333333333334,58.867,33.9,10.052,2.0900000000000003,0.9369999999999999,22.014642857142857,61.48321428571428,38.285714285714285
2018-08-20 10:00:00,0.0,0.0,0.0,29.047666666666665,4.786333333333333,0.5986666666666667,23.766785714285714,55.81964285714286,38.035714285714285,19.139999999999997,6.368666666666667,1.0223333333333333,23.346333333333334,53.256,78.46666666666667,1.0126666666666666,0.517,17.483666666666668,2.8489999999999998,0.737,21.377666666666666,61.464333333333336,34.06666666666667,10.080666666666668,2.1166666666666667,0.8653333333333334,21.817333333333334,61.602666666666664,39.13333333333333
2018-08-20 10:30:00,0.0,0.0,0.0,28.95,4.786666666666666,0.5953333333333333,23.743666666666666,55.30233333333333,44.7,18.66166666666667,6.3036666666666665,1.6186666666666667,23.36,53.642500000000005,77.41666666666667,0.808,0.52,17.482000000000003,2.848666666666667,0.7103333333333333,21.60533333333333,60.75366666666666,33.43333333333333,10.120333333333333,2.117,0.8333333333333334,21.608571428571427,61.857142857142854,36.964285714285715
2018-08-20 11:00:00,0.0,0.0,0.0,23.064666666666668,4.777666666666666,0.611,23.68,57.03866666666667,45.96666666666667,21.013333333333332,6.292666666666666,1.6883333333333332,23.208666666666666,55.251,77.3,0.8806666666666667,0.4733333333333334,17.482666666666667,2.8429999999999995,0.7066666666666667,21.629666666666665,60.58633333333333,34.0,10.138333333333332,2.112,0.8556666666666666,21.455333333333332,61.87766666666666,35.9
