Date,z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_Light(kW)
2019-08-22 05:00:00,0.013000000000000001,5.661666666666666,23.697,0.027,0.005,0.005,9.397333333333334,13.362666666666666,12.880666666666666,0.8640000000000001,23.399333333333335
2019-08-22 05:30:00,0.013000000000000001,6.191999999999999,25.462666666666667,0.026333333333333334,0.005666666666666667,0.004666666666666667,9.317,12.028333333333334,17.922,0.868,21.357333333333333
2019-08-22 06:00:00,0.011333333333333334,5.614,24.715666666666667,0.025666666666666667,0.007666666666666667,0.004,8.482000000000001,12.947000000000001,39.912666666666674,0.779,0.057666666666666665
2019-08-22 06:30:00,0.013333333333333334,1.4006666666666665,0.021333333333333333,0.02333333333333333,0.006,0.0036666666666666666,5.548,9.863,39.78433333333333,0.728,0.049666666666666665
2019-08-22 07:00:00,0.014,1.3776666666666666,0.021666666666666667,0.025,0.006,0.004,7.2476666666666665,12.425666666666666,39.58133333333333,0.781,0.051000000000000004
2019-08-22 07:30:00,0.014,1.3636666666666666,0.021666666666666667,0.026333333333333334,0.006,0.0036666666666666666,8.491,9.844,39.40466666666667,0.7996666666666667,0.051000000000000004
2019-08-22 08:00:00,0.014333333333333333,1.3210000000000002,0.021,0.025333333333333333,0.006,0.004,8.230666666666668,12.197333333333335,38.31966666666666,0.8786666666666666,0.048
2019-08-22 08:30:00,0.013666666666666666,1.3313333333333333,0.021,0.025333333333333333,0.005666666666666667,0.0036666666666666666,8.238000000000001,10.134333333333332,19.776333333333334,0.9643333333333334,0.04933333333333333
2019-08-22 09:00:00,0.014,0.8573333333333334,0.021333333333333333,0.026000000000000002,0.006,0.0036666666666666666,8.376333333333333,12.413,19.401,1.7910000000000001,0.04933333333333333
2019-08-22 09:30:00,0.014333333333333333,1.4676666666666667,0.021333333333333333,0.025666666666666667,0.005666666666666667,0.004,8.345333333333333,13.925666666666666,19.367666666666665,1.7706666666666666,0.049666666666666665
2019-08-22 10:00:00,0.014333333333333333,1.4973333333333334,0.021333333333333333,0.025666666666666667,0.006,0.0036666666666666666,8.363,11.265666666666668,19.755999999999997,1.7676666666666667,0.05
2019-08-22 10:30:00,0.014,1.4743333333333335,0.021333333333333333,0.025666666666666667,0.005666666666666667,0.004,8.346333333333332,13.185333333333334,19.36733333333333,1.7703333333333333,0.049666666666666665
2019-08-22 11:00:00,0.013666666666666666,1.4283333333333335,0.021333333333333333,0.025666666666666667,0.006,0.0036666666666666666,8.315666666666667,11.937666666666667,19.292333333333332,1.731,0.04933333333333333
2019-08-22 11:30:00,0.014666666666666666,1.451,0.021333333333333333,0.025666666666666667,0.005666666666666667,0.004,8.366999999999999,12.221,19.404666666666667,1.6683333333333332,0.049666666666666665
2019-08-22 12:00:00,0.014333333333333333,0.8583333333333333,0.021333333333333333,0.026333333333333334,0.006,0.0036666666666666666,8.505666666666666,13.514666666666667,19.694333333333336,1.7843333333333333,0.04933333333333333
2019-08-22 12:30:00,0.014,1.3806666666666667,0.021333333333333333,0.026000000000000002,0.006,0.004,8.495,11.651333333333334,19.657,1.7846666666666666,0.05
2019-08-22 13:00:00,18.284,1.4023333333333334,0.02,0.022333333333333334,0.008333333333333333,0.002,7.595666666666667,13.597333333333333,19.31833333333333,1.7570000000000001,5.449333333333334
2019-08-22 13:30:00,28.934666666666665,1.4096666666666666,0.019666666666666666,0.019666666666666666,0.011000000000000001,0.001,6.815666666666667,11.417,19.025,1.768,8.127333333333333
2019-08-22 14:00:00,29.029999999999998,1.4143333333333332,0.019666666666666666,0.02,0.010666666666666666,0.001,6.908,12.779333333333334,19.326666666666664,1.7766666666666666,8.150333333333332
2019-08-22 14:30:00,29.081333333333337,0.873,0.019666666666666666,0.02,0.010666666666666666,0.001,6.900666666666667,12.893,19.275333333333332,1.7576666666666665,8.167
2019-08-22 15:00:00,29.166333333333334,1.4846666666666666,0.019666666666666666,0.019666666666666666,0.011000000000000001,0.001,6.826666666666667,11.49,19.014,1.7553333333333332,8.190333333333333
2019-08-22 15:30:00,29.290666666666667,1.504333333333333,0.019666666666666666,0.02,0.011000000000000001,0.0006666666666666666,6.9719999999999995,13.140333333333333,19.446,1.758,8.213
2019-08-22 16:00:00,29.549666666666667,1.5256666666666667,0.019666666666666666,0.02,0.011000000000000001,0.001,7.016333333333334,11.015666666666668,18.228,1.7513333333333334,8.282333333333334
2019-08-22 16:30:00,30.012666666666668,1.4296666666666666,0.02,0.02033333333333333,0.011666666666666665,0.001,7.12,13.748333333333333,18.211000000000002,1.4776666666666667,8.38
2019-08-22 17:00:00,30.2,1.5393333333333332,27.245,8.361333333333333,0.012666666666666666,0.005333333333333333,8.872000000000002,11.085333333333333,19.828333333333333,1.2953333333333332,8.399333333333333
