Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-10-28 12:00:00,0.0,2.316666666666667,0.28933333333333333,26.86,61.13058823529412,0.0,0.0,0.762,0.1436666666666667,26.806956521739128,60.79217391304348,23.08695652173913,1.4043333333333332,0.26,0.0,0.0,0.0,0.0,2.3223333333333334,0.10966666666666666,26.209999999999997,64.994,0.0,0.0,0.8373333333333334,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 12:30:00,0.0,2.316666666666667,0.224,26.86,61.13058823529412,0.0,0.0,0.7616666666666667,0.138,26.806956521739128,60.79217391304348,23.08695652173913,1.2986666666666666,0.26,0.0,0.0,0.0,0.0,2.2646666666666664,0.10600000000000001,26.209999999999997,64.994,0.0,0.0,0.8166666666666667,0.028666666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 13:00:00,0.0,2.3056666666666668,0.25233333333333335,26.86,61.13058823529412,0.0,0.0,1.496,0.16966666666666666,26.806956521739128,60.79217391304348,23.08695652173913,1.4253333333333333,0.26,0.0,0.0,0.0,0.0,2.3103333333333333,0.235,26.209999999999997,64.994,0.0,0.0,0.8323333333333334,0.04633333333333334,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 13:30:00,0.0,2.302,0.2586666666666667,26.86,61.13058823529412,0.0,0.0,1.8436666666666668,0.18133333333333332,26.806956521739128,60.79217391304348,23.08695652173913,1.6933333333333331,0.26,0.0,0.0,0.0,0.0,2.3059999999999996,0.22166666666666668,26.209999999999997,64.994,0.0,0.0,0.8300000000000001,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 14:00:00,0.0,2.298,0.2336666666666667,26.86,61.13058823529412,0.0,0.0,1.845,0.2063333333333333,26.806956521739128,60.79217391304348,23.08695652173913,1.5233333333333334,0.26,0.0,0.0,0.0,0.0,2.3026666666666666,0.14333333333333334,26.209999999999997,64.994,0.0,0.0,0.8290000000000001,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 14:30:00,0.0,2.2963333333333336,0.28966666666666663,26.86,61.13058823529412,0.0,0.0,1.8426666666666667,0.14833333333333334,26.806956521739128,60.79217391304348,23.08695652173913,1.5493333333333335,0.26,0.0,0.0,0.0,0.0,2.243666666666667,0.136,26.209999999999997,64.994,0.0,0.0,0.8086666666666668,0.03166666666666667,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 15:00:00,0.0,2.2966666666666664,0.2816666666666666,26.86,61.13058823529412,0.0,0.0,1.8446666666666667,0.12166666666666666,26.806956521739128,60.79217391304348,23.08695652173913,1.4873333333333334,0.26,0.0,0.0,0.0,0.0,2.302,0.13866666666666666,26.209999999999997,64.994,0.0,0.0,0.8286666666666667,0.04633333333333334,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 15:30:00,0.0,2.303,0.321,26.86,61.13058823529412,0.0,0.0,1.8516666666666668,0.21266666666666667,26.806956521739128,60.79217391304348,23.08695652173913,1.5083333333333333,0.26,0.0,0.0,0.0,0.0,2.3086666666666664,0.13966666666666666,26.209999999999997,64.994,0.0,0.0,0.8313333333333334,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 16:00:00,0.0,2.3106666666666666,0.22666666666666668,26.86,61.13058823529412,0.0,0.0,1.8566666666666667,0.09433333333333334,26.806956521739128,60.79217391304348,23.08695652173913,1.588,0.25866666666666666,0.0,0.0,0.0,0.0,2.2576666666666667,0.137,26.209999999999997,64.994,0.0,0.0,0.8153333333333334,0.045000000000000005,24.914666666666665,64.68066666666667,59.13333333333333
2018-10-28 16:30:00,0.0,2.320333333333333,0.277,26.86,61.13058823529412,0.0,0.0,1.864666666666667,0.16666666666666666,26.806956521739128,60.79217391304348,23.08695652173913,1.5583333333333333,0.26,0.0,0.0,0.0,0.0,2.3256666666666663,0.14166666666666666,26.209999999999997,64.994,0.0,0.0,0.8383333333333334,0.046000000000000006,24.914666666666665,64.68066666666667,59.13333333333333
