timestamp [dd/mm/yyyy HH:MM],ki [%],o1_1 [%],o1_2 [%],o2 [%],o3 [%],o4 [%],mr [%]
2013-11-23 02:00:00,31.95,32.95,33.7,32.7,35.3,35.175,31.0
2013-11-23 03:00:00,32.075,32.95,33.8,32.45,35.375,35.3,31.0
2013-11-23 04:00:00,32.125,33.1,34.125,32.65,34.95,34.95,31.0
2013-11-23 05:00:00,31.9,33.075,33.95,32.5,35.05,35.15,31.0
2013-11-23 06:00:00,31.925,32.974999999999994,34.375,32.6,35.3,34.8,31.0
2013-11-23 07:00:00,31.9,33.325,33.95,32.475,35.3,35.05,31.0
2013-11-23 08:00:00,31.65,32.9,34.25,32.675,35.175,35.1,31.0
2013-11-23 09:00:00,31.9,33.35,33.65,32.625,34.9,34.575,31.2
2013-11-23 10:00:00,31.8,33.25,33.5,32.6,34.675,35.125,31.075
2013-11-23 11:00:00,31.55,33.075,34.05,32.8,35.3,34.625,31.0
2013-11-23 12:00:00,31.675,33.224999999999994,33.7,32.8,35.825,34.675,31.0
2013-11-23 13:00:00,32.075,33.375,33.8,32.95,35.875,35.099999999999994,31.0
2013-11-23 14:00:00,32.225,33.325,34.725,33.45,35.675000000000004,34.95,31.0
2013-11-23 15:00:00,32.3,33.4,35.15,33.95,35.7,34.9,31.125
2013-11-23 16:00:00,32.25,33.25,35.3,33.55,35.475,34.9,31.125
2013-11-23 17:00:00,31.8,33.625,35.075,33.45,35.224999999999994,34.95,30.650000000000002
2013-11-23 18:00:00,31.900000000000002,33.3,34.9,33.575,34.85,35.425,30.6
2013-11-23 19:00:00,32.2,33.2,34.725,33.625,34.75,34.875,30.6
2013-11-23 20:00:00,32.025,33.224999999999994,34.849999999999994,33.375,34.65,34.6,30.6
2013-11-23 21:00:00,32.025,33.05,33.85,33.35,35.05,34.1,30.6
2013-11-23 22:00:00,31.775000000000002,33.025,34.425,33.075,34.75,34.35,30.6
2013-11-23 23:00:00,31.525,33.175,33.95,33.075,34.7,34.5,30.6
2013-11-24 00:00:00,31.775,32.85,34.05,33.175,34.65,34.475,30.6
2013-11-24 01:00:00,31.7,33.099999999999994,34.125,33.2,34.65,34.475,30.6
2013-11-24 02:00:00,31.474999999999998,33.15,33.825,33.35,34.875,34.65,30.6
2013-11-24 03:00:00,31.4,33.3,34.35,33.475,34.725,34.725,30.6
2013-11-24 04:00:00,31.875,33.25,34.375,33.975,34.9,34.25,30.6
2013-11-24 05:00:00,31.9,33.05,34.675,33.7,34.825,34.15,30.6
2013-11-24 06:00:00,31.75,33.025,34.55,34.075,34.9,34.625,30.6
2013-11-24 07:00:00,31.9,33.225,34.475,33.975,35.05,34.875,30.6
2013-11-24 08:00:00,32.05,33.55,34.1,33.8,35.3,34.95,30.6
2013-11-24 09:00:00,32.050000000000004,33.375,34.7,33.825,35.525,34.7,30.6
2013-11-24 10:00:00,32.075,33.95,35.0,34.1,36.45,35.175,30.8
2013-11-24 11:00:00,32.775,34.1,34.725,34.725,37.55,36.2,31.825
2013-11-24 12:00:00,32.8,33.95,35.25,35.025,37.175,36.075,32.2
2013-11-24 13:00:00,32.8,33.975,35.225,34.95,36.625,36.2,32.300000000000004
2013-11-24 14:00:00,32.825,34.375,35.7,35.375,36.6,36.025,32.2
2013-11-24 15:00:00,32.9,34.65,35.875,35.45,36.175,36.05,32.5
2013-11-24 16:00:00,33.05,34.1,35.4,35.575,36.1,36.075,32.125
2013-11-24 17:00:00,33.05,33.85,35.25,35.55,36.1,35.825,31.725
2013-11-24 18:00:00,32.7,34.45,34.85,34.95,35.85,35.875,31.575
2013-11-24 19:00:00,32.6,33.974999999999994,34.5,34.3,35.425,35.75,31.4
2013-11-24 20:00:00,31.975,33.35,34.2,33.875,35.3,35.35,31.4
2013-11-24 21:00:00,31.8,33.125,33.925,33.324999999999996,34.975,34.9,31.4
2013-11-24 22:00:00,31.125,32.725,34.0,32.775,35.05,34.6,31.4
2013-11-24 23:00:00,30.625,32.175,33.7,32.2,34.625,34.425,31.4
2013-11-25 00:00:00,30.225,31.299999999999997,33.4,31.575,34.125,33.875,31.4
2013-11-25 01:00:00,29.85,30.85,32.7,30.9,34.15,33.449999999999996,31.4
2013-11-25 02:00:00,28.9,29.9,32.5,30.35,33.574999999999996,32.825,31.4
2013-11-25 03:00:00,27.9,29.075,31.775000000000002,30.2,33.3,32.45,31.4
2013-11-25 04:00:00,27.5,28.525,31.0,30.2,33.35,32.0,31.4
