date,rtu_001_oa_temp,rtu_002_oa_temp,rtu_003_oa_temp,rtu_004_oa_temp
2020-06-05 12:30:00,45.193333333333335,53.69666666666667,52.40333333333333,48.64
2020-06-05 13:00:00,45.21333333333334,53.013333333333335,52.190000000000005,48.74333333333333
2020-06-05 13:30:00,45.45333333333333,53.11333333333334,52.56666666666667,49.17333333333333
2020-06-05 14:00:00,45.373333333333335,52.91333333333333,52.626666666666665,49.24666666666667
2020-06-05 14:30:00,45.43,52.99666666666667,52.4,49.3
2020-06-05 15:00:00,45.46333333333334,53.01,52.72,49.90333333333333
2020-06-05 15:30:00,45.766666666666666,53.41333333333333,52.92666666666666,50.28
2020-06-05 16:00:00,46.53,53.89,53.49666666666667,51.2
2020-06-05 16:30:00,47.15,54.583333333333336,54.4,52.31
2020-06-05 17:00:00,47.24333333333333,55.06333333333334,54.27,52.69666666666667
2020-06-05 17:30:00,47.88333333333333,56.07333333333334,55.09666666666667,53.66333333333333
2020-06-05 18:00:00,48.25666666666667,55.830000000000005,55.55,54.61333333333334
2020-06-05 18:30:00,48.90333333333333,56.29,56.18,55.46
2020-06-05 19:00:00,50.18,56.91333333333333,56.79,57.336666666666666
2020-06-05 19:30:00,50.763333333333335,58.586666666666666,57.513333333333335,55.763333333333335
2020-06-05 20:00:00,52.04333333333333,59.583333333333336,58.39,57.43333333333333
2020-06-05 20:30:00,53.29666666666667,62.18666666666666,59.36,58.193333333333335
2020-06-05 21:00:00,52.57333333333334,61.07666666666667,59.77666666666666,59.873333333333335
2020-06-05 21:30:00,54.52,62.27333333333333,61.25,61.330000000000005
2020-06-05 22:00:00,54.086666666666666,62.70333333333333,60.16666666666666,59.20333333333333
2020-06-05 22:30:00,52.03666666666666,62.083333333333336,59.833333333333336,58.940000000000005
2020-06-05 23:00:00,51.11,62.00666666666667,59.126666666666665,56.89
2020-06-05 23:30:00,51.38,61.336666666666666,58.36,55.14666666666667
2020-06-06 00:00:00,49.43333333333333,59.44666666666667,56.80333333333333,54.16
2020-06-06 00:30:00,49.11,58.21666666666667,56.36,52.473333333333336
2020-06-06 01:00:00,48.64666666666667,57.71666666666667,55.626666666666665,52.013333333333335
2020-06-06 01:30:00,49.34,58.61666666666667,56.52333333333333,54.16
2020-06-06 02:00:00,48.91666666666666,61.75,57.45,53.17
2020-06-06 02:30:00,49.986666666666665,61.4,57.626666666666665,54.03
2020-06-06 03:00:00,47.84333333333333,57.406666666666666,56.193333333333335,52.28
2020-06-06 03:30:00,46.46333333333334,55.53,54.06333333333334,49.986666666666665
2020-06-06 04:00:00,46.37,54.54666666666667,53.75,49.66
2020-06-06 04:30:00,46.32,54.6,53.44666666666667,49.656666666666666
2020-06-06 05:00:00,46.153333333333336,54.21333333333334,53.30333333333333,49.473333333333336
2020-06-06 05:30:00,46.16,54.39333333333333,53.36666666666667,49.5
2020-06-06 06:00:00,46.04666666666667,55.74333333333333,53.61,49.39
2020-06-06 06:30:00,45.77666666666666,55.16333333333333,53.14,49.25333333333333
2020-06-06 07:00:00,45.66,53.82,52.78333333333333,49.12
2020-06-06 07:30:00,45.58666666666667,53.52333333333333,52.71333333333334,49.10666666666667
2020-06-06 08:00:00,45.07,52.99,52.443333333333335,48.21333333333334
2020-06-06 08:30:00,44.836666666666666,53.07,52.09666666666667,48.01
2020-06-06 09:00:00,44.79666666666666,53.03333333333333,51.973333333333336,47.92333333333333
